run,zp
376482,23.94
376483,21.43
376484,24.57
376485,23.94
376486,21.43
376487,24.57
376488,23.94
376489,21.43
376490,24.57
376491,23.94
376492,21.43
376493,24.57
376494,23.94
376495,21.43
376496,24.57
376497,23.94
376507,21.43
376508,24.57
376509,23.94
376510,21.43
376511,24.57
376512,23.94
376525,21.43
376526,24.57
376527,23.94
376528,21.43
376529,24.57
376530,23.94
376531,21.43
376533,24.57
376534,23.94
376535,21.43
376536,24.57
376537,23.94
376538,21.43
376539,24.57
376540,23.94
376541,21.43
376542,24.57
376543,23.94
376544,21.43
376545,24.57
376546,23.94
376547,21.43
376548,24.57
376549,23.94
376550,21.43
376551,24.57
376552,23.94
376553,21.43
376554,24.57
376555,23.94
376562,21.43
376563,24.57
376564,23.94
376565,21.43
376566,24.57
376567,23.94
376574,21.43
376575,24.57
376576,23.94
376577,21.43
376578,24.57
376579,23.94
376592,21.43
376593,24.57
376594,23.94
376595,21.43
376596,24.57
376597,23.94
376614,21.43
376615,24.57
376616,23.94
376617,21.43
376618,24.57
376619,23.94
376626,21.43
376627,24.57
376628,23.94
376629,21.43
376630,24.57
376631,23.94
376638,21.43
376639,24.57
376640,23.94
376641,21.43
376642,24.57
376643,23.94
376644,21.43
376645,24.57
376646,23.94
376647,21.43
376648,24.57
376649,23.94
376668,21.43
376669,24.57
376670,23.94
376671,21.43
376672,24.57
376673,23.94
379916,21.45
379917,24.59
379918,23.92
379919,21.45
379920,24.59
379921,23.92
381464,21.41
381465,24.55
381466,23.88
381467,21.41
381468,24.55
381469,23.88
381470,21.41
381471,24.55
381472,23.88
381473,21.41
381474,24.55
381475,23.88
381482,21.41
381483,24.55
381484,23.88
381485,21.41
381486,24.55
381487,23.88
381488,21.41
381489,24.55
381490,23.88
381491,21.41
381492,24.55
381493,23.88
381494,21.41
381495,24.55
381496,23.88
381497,21.41
381498,24.55
381499,23.88
381500,21.41
381501,24.55
381502,23.88
381503,21.41
381504,24.55
381505,23.88
381506,21.41
381507,24.55
381508,23.88
381509,21.41
381510,24.55
381511,23.88
381512,21.41
381513,24.55
381514,23.88
381515,21.41
381516,24.55
381517,23.88
381530,21.41
381531,24.55
381532,23.88
381533,21.41
381534,24.55
381535,23.88
381536,21.41
381537,24.55
381538,23.88
381539,21.41
381540,24.55
381541,23.88
381548,21.41
381549,24.55
381550,23.88
381551,21.41
381552,24.55
381553,23.88
381554,21.41
381555,24.55
381556,23.88
381557,21.41
381558,24.55
381559,23.88
381578,21.41
381579,24.55
381580,23.88
381581,21.41
381582,24.55
381583,23.88
381590,21.41
381591,24.55
381592,23.88
381593,21.41
381594,24.55
381595,23.88
381602,21.41
381603,24.55
381604,23.88
381605,21.41
381606,24.55
381607,23.88
381615,21.41
381616,24.55
381617,23.88
381618,21.41
381619,24.55
381620,23.88
381627,21.41
381628,24.55
381629,23.88
381630,21.41
381631,24.55
381632,23.88
381645,21.41
381646,24.55
381647,23.88
381648,21.41
381649,24.55
381650,23.88
381663,21.41
381664,24.55
381665,23.88
381666,21.41
381667,24.55
381668,23.88
381681,21.41
381682,24.55
381683,23.88
381684,21.41
381685,24.55
381686,23.88
381699,21.41
381700,24.55
381701,23.88
381702,21.41
381703,24.55
381704,23.88
381705,21.41
381706,24.55
381707,23.88
381708,21.41
381709,24.55
381710,23.88
381723,21.41
381724,24.55
381725,23.88
381726,21.41
381727,24.55
381728,23.88
381735,21.41
381736,24.55
381737,23.88
381738,21.41
381739,24.55
381740,23.88
381747,21.41
381748,24.55
381749,23.88
381750,21.41
381751,24.55
381752,23.88
381759,21.41
381760,24.55
381761,23.88
381762,21.41
381763,24.55
381764,23.88
381771,21.41
381772,24.55
381773,23.88
381774,21.41
381775,24.55
381776,23.88
381789,21.41
381790,24.55
381791,23.88
381792,21.41
381793,24.55
381794,23.88
381795,21.41
381796,24.55
381797,23.88
381798,21.41
381799,24.55
381800,23.88
401504,21.38
401505,24.52
