run,zp
359734,21.32
359737,21.32
359740,21.32
359743,21.32
359746,21.32
359753,21.32
359756,21.32
359759,21.32
359762,21.32
359765,21.32
359768,21.32
359771,21.32
359774,21.32
359777,21.32
359783,21.32
359786,21.32
359789,21.32
359792,21.32
359795,21.32
359798,21.32
359801,21.32
359810,21.32
359813,21.32
359816,21.32
359819,21.32
359825,21.32
359828,21.32
359831,21.32
359834,21.32
359840,21.32
359843,21.32
359846,21.32
359849,21.32
359855,21.32
359900,21.24
359903,21.24
359906,21.24
359909,21.24
359915,21.24
359918,21.24
359921,21.24
359924,21.24
359928,21.24
359931,21.24
359934,21.24
359937,21.24
359940,21.24
359946,21.24
359949,21.24
359953,21.24
359956,21.24
359959,21.24
359962,21.24
359965,21.24
359974,21.24
359977,21.24
359980,21.24
359983,21.24
359990,21.24
359993,21.24
359996,21.24
359999,21.24
360002,21.24
360005,21.24
360009,21.24
360018,21.24
360021,21.24
360024,21.24
360027,21.24
360030,21.24
360033,21.24
360036,21.24
360039,21.24
360046,21.24
360049,21.24
360052,21.24
360055,21.24
360058,21.24
360061,21.24
360064,21.24
360067,21.24
360076,21.24
360079,21.24
360082,21.24
360085,21.24
360088,21.24
360091,21.24
360094,21.24
360097,21.24
360100,21.24
360103,21.24
360106,21.24
360109,21.24
360118,21.24
360121,21.24
360124,21.24
360127,21.24
360130,21.24
360134,21.24
360137,21.24
360140,21.24
360143,21.24
360149,21.24
360152,21.24
360155,21.24
360158,21.24
360161,21.24
360164,21.24
360167,21.24
360173,21.24
360176,21.24
360179,21.24
360182,21.24
360248,21.32
360254,21.32
360258,21.32
360260,21.32
360263,21.32
360267,21.32
360270,21.32
360273,21.32
360276,21.32
360279,21.32
360282,21.32
360285,21.32
360288,21.32
360294,21.32
360300,21.32
360303,21.32
360306,21.32
360309,21.32
360312,21.32
360315,21.32
360318,21.32
360327,21.32
360342,21.32
360343,21.32
360346,21.32
360349,21.32
360352,21.32
360355,21.32
360358,21.32
360364,21.32
