l,count,rmi,rmha
105,1149232,0.955632369027286,0.414250398880471
106,1102423,0.98321114865283,0.427702081891304
107,1084509,1.00544704239528,0.43652954726824
108,978572,1.05104741236209,0.44675925907451
109,894634,1.08454660427848,0.454937756024708
110,803113,1.09661237077866,0.456039977722381
111,734684,1.14145760835697,0.477614056334984
112,781009,1.12670816566068,0.466872969985641
113,903420,1.07484273180381,0.443556599591223
114,881526,1.11498686654444,0.452212367673657
115,773590,1.14026284098368,0.455483737851709
116,801708,1.07046042846704,0.445653586713212
117,919905,0.986358508910229,0.429483404872202
118,915247,1.00464059418543,0.436666211492702
119,920158,1.07443263136759,0.455466354807662
120,904289,1.11072362733538,0.459480909401127
121,850404,1.09476331125293,0.449933535340787
122,916081,1.06987293061938,0.448326439007889
123,896986,1.02769969139265,0.446648057548705
124,833330,1.0467667096613,0.444763654534923
125,700102,1.04952918219722,0.444224558932604
126,674364,0.997758151732967,0.42990039763797
127,692220,0.955800400399655,0.41321541005005
128,778800,0.936627745192369,0.40875718821245
129,796758,0.953484704771786,0.418779278396667
130,866917,0.945011633430397,0.417724402816847
131,844054,0.926437877199577,0.414846246665951
132,785318,0.944433481357794,0.414613649546843
133,702742,0.974695795376676,0.421254035969774
134,691257,0.968711487714188,0.42273082888965
135,702247,0.964131172695809,0.432157302613792
136,689627,0.967398816025848,0.429357601297338
137,712463,0.987297183801855,0.436542772976532
138,646889,1.01500235455288,0.444431137575732
139,522298,1.09296438020869,0.451598095163345
140,480863,1.14795141708113,0.458697660603309
141,455405,1.13542888115268,0.46087147692974
142,420355,1.14015910887127,0.457577245766761
143,339434,1.18340430955143,0.463636599101384
144,369499,1.16695570499392,0.459514983067869
145,399849,1.10284525143924,0.457206186342042
146,450195,1.10801126878922,0.464913203408816
147,467457,1.06209223950003,0.445180945511322
148,476322,1.0792047044586,0.455722935666616
149,472646,1.07986257157544,0.446740566023524
150,496084,1.09403936020651,0.450049738775984
151,511677,1.06442488945237,0.458781625877015
