l,count,rmi,rmha
132,713165,0.955498604294894,0.416750181949246
133,644216,0.985690359461038,0.423208022879418
134,633904,0.978723275019702,0.421737754930769
135,639855,0.974883320187194,0.431255032809845
136,621336,0.98023442653307,0.433153188584125
137,644283,0.998668709900597,0.438179041775454
138,589569,1.02616786748352,0.445690391836415
139,482786,1.10204623185899,0.454103640986524
140,446876,1.15759804284274,0.460965653875865
141,423536,1.1446385430694,0.463278224441055
142,389632,1.15025666122694,0.459645500555237
143,319041,1.19284011071928,0.466049878070511
144,347464,1.17631212778122,0.46187258913836
145,370130,1.11434069095162,0.460131350415614
146,407740,1.12471550696796,0.470332042322609
147,425878,1.07483103677482,0.449472964855631
148,438042,1.09025025811246,0.45922804932524
149,433633,1.09107400126847,0.450471140977521
150,454331,1.10637010214056,0.454163938376558
151,467762,1.07693225303921,0.462036193678936
152,483322,1.07371961483711,0.464616800742491
153,481496,1.0957331812336,0.466006511449023
154,458920,1.13329714998297,0.468690271938014
155,436579,1.11616863370422,0.462664077298385
156,438724,1.06587137656011,0.440495214706232
157,438473,1.07193378246161,0.438793115499393
158,464721,1.00318081322366,0.433073599468705
159,489100,0.990973493714422,0.432693752722629
160,482255,0.976450517064269,0.431783106792649
161,509572,0.933330811005276,0.421977451943697
162,562037,0.914471858389432,0.420511811790418
163,548105,0.893646917614235,0.411134098154542
164,522423,0.876096917718458,0.409945512998165
165,553598,0.901643364472489,0.426271091050985
166,527780,0.923469410171853,0.424747158147019
167,506435,0.958951999396239,0.432284498411672
168,504394,0.990800963750749,0.43603479233946
169,513130,0.997066529941512,0.442026702067512
170,494068,1.00972705624699,0.442133486681287
171,465707,1.02668103327627,0.449142022407492
172,510363,1.03553969252602,0.453048577606491
173,497772,1.0185294107821,0.450551102320239
174,467968,1.00724646882889,0.444504918553118
175,488983,0.953923320764608,0.425852834976178
176,483514,0.962194942790415,0.426788110493355
177,451387,0.96180600366519,0.424904424888569
178,478113,0.925158660809752,0.412176319963486
179,437625,0.9571505346338,0.421367601177659
180,451769,0.945529409544236,0.418222274938553
181,482603,0.931969779891789,0.416958421889575
182,433655,0.950723051303508,0.430526201353609
183,426541,0.930555751097226,0.421742974083845
184,430336,0.964302615416185,0.424581429520842
185,405178,0.957137320276401,0.424352936585059
186,412717,0.963315511502725,0.430301146957047
187,451019,0.943883223590403,0.423879822549937
188,408105,0.988871290370416,0.428345956489946
189,496740,1.0762283948997,0.4644805868132
190,443679,1.04578546093522,0.448507913511971
191,392369,1.0076305690897,0.440538346589724
192,417414,0.975795341223359,0.429668359414619
193,419233,0.958724366398111,0.430980619870263
194,437956,0.954384606667542,0.429739122474365
195,458634,0.931042133927217,0.430579801400732
196,487744,0.930097732894781,0.430147143236756
197,529079,0.915301022396743,0.425904351565357
198,540412,0.899772690032762,0.422577914189524
199,505052,0.908314818945169,0.421429005780051
200,521277,0.864134444704572,0.414979054325482
201,511283,0.87825921303136,0.413125617345592
202,480636,0.879226411627994,0.412287479642264
203,505931,0.849652880816332,0.404912234145835
204,521843,0.865679440398172,0.405707969699741
205,441005,0.864965117735148,0.403676172951209
206,475385,0.875862450886361,0.409602959099062
207,469643,0.887276054753146,0.405486254097026
208,424583,0.89530282751428,0.401582825603471
209,427847,0.912247363383826,0.407565281331161
210,439047,0.898795447187329,0.408605985000916
211,490398,0.872657421160069,0.40271050062807
212,538713,0.874623458147086,0.401144505178793
213,539806,0.859354967974671,0.392414363357442
214,534519,0.867312554478391,0.394470082859693
215,477168,0.877301484363537,0.402522967188067
216,31372,0.922387828528046,0.399280512736273
