RUN,CCD,CRVAL1,CRVAL2,CRPIX1,CRPIX2,CD1_1,CD1_2,CD2_1,CD2_2,REFRUN
478166,4,307.46805,40.401649,1785.35,3014.7,-1.3964774e-06,-9.2401931e-05,-9.2442402e-05,1.381878e-06,478168
478329,3,77.091103,32.144463,3897.5,2935.4,-1.4597562e-06,-9.2475369e-05,-9.2497794e-05,1.4663565e-06,478328
478340,3,77.188141,34.162334,3883.3,2928.25,-1.4641446e-06,-9.2476992e-05,-9.2501985e-05,1.4897745e-06,478341
478374,3,77.420387,36.261127,3893.5,2944.05,-1.4718967e-06,-9.247494e-05,-9.2495953e-05,1.4711801e-06,478373
478612,3,324.20038,54.599182,3885.4,2933.5,-1.6404853e-06,-9.2482095e-05,-9.2485046e-05,1.6359916e-06,478611
478844,1,93.55619,10.330297,-320.39,3066.2,-1.2974369e-06,-9.2439665e-05,-9.2471564e-05,1.3140899e-06,478846
479147,1,77.959549,32.963539,-325.98,3061.2,-1.2607503e-06,-9.2420142e-05,-9.245814e-05,1.2908355e-06,479149
479790,3,326.40723,59.647999,3891.45,2942.8,-1.6192771e-06,-9.2470043e-05,-9.2516188e-05,1.6225371e-06,479789
479791,3,326.57486,59.731335,3890.85,2935.75,-1.624633e-06,-9.2386459e-05,-9.2515955e-05,1.636762e-06,479793
479793,1,326.56064,59.732525,-326.14,3065.85,-1.3974528e-06,-9.2481736e-05,-9.248226e-05,1.4295464e-06,479792
479969,1,78.172127,35.446857,-316.57,3061.6,-1.2534636e-06,-9.2442068e-05,-9.2467606e-05,1.2849669e-06,479971
480169,1,7.2049665,58.814648,-330.59,3060.6,-1.285908e-06,-9.2486526e-05,-9.247144e-05,1.3001961e-06,480170
480305,1,8.2449732,66.431442,-317.17,3068.85,-1.2955642e-06,-9.248756e-05,-9.2471993e-05,1.34683e-06,480304
480305,3,8.2599297,66.430244,3902.2,2951.3,-1.531243e-06,-9.2475108e-05,-9.2501708e-05,1.532879e-06,480304
480359,3,72.994789,46.263474,3884.25,2940.7,-1.4382915e-06,-9.2477443e-05,-9.2495524e-05,1.435184e-06,480358
480397,1,73.316994,45.427746,-303.86,3065.6,-1.2500548e-06,-9.2475595e-05,-9.246324e-05,1.2745294e-06,480398
480824,3,74.492416,40.846821,3910.05,2942.25,-1.4663179e-06,-9.2488106e-05,-9.2591545e-05,1.403533e-06,480825
480825,3,74.490837,40.848019,3898.8,2958.8,-1.3923101e-06,-9.2452404e-05,-9.2594142e-05,1.4186598e-06,480824
480943,3,75.039215,43.884937,3873.1,2956.7,-1.5306577e-06,-9.2424816e-05,-9.2482325e-05,1.4902052e-06,480945
480943,4,75.035896,43.884937,1781.45,3019.75,-1.2571769e-06,-9.2416835e-05,-9.2447481e-05,1.2581025e-06,480945
